Faculty,Article Name,Journal Name,Abstract,Publication Year,ABDC Rating
Masa Kuroki,Integrating Advertising into Duopoly Simulations for Intermediate Microeconomics Courses Using Python,Journal of Economics Teaching,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q6SsuLgAAAAJ&pagesize=100&citation_for_view=Q6SsuLgAAAAJ:mB3voiENLucC,2024.0,Unrated
Kuldeep Singh,Millennials’ CSR Adoption: A Stakeholder Approach and the Impact on Profit,American Journal of Management,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k3uL__cAAAAJ&pagesize=100&citation_for_view=k3uL__cAAAAJ:_FxGoFyzp5QC,2024.0,Unrated
Sidd Bhambhwani,Expropriation risk and investment: a natural experiment,Journal of Financial and Quantitative Analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xpOekbMAAAAJ&pagesize=100&citation_for_view=xpOekbMAAAAJ:UeHWp8X0CEIC,2024.0,A* 
Masa Kuroki,Free Pre-K and Non-Marital Childbearing: Examining the Link in Vermont,"Journal of Economics, Race, and Policy",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q6SsuLgAAAAJ&pagesize=100&citation_for_view=Q6SsuLgAAAAJ:7PzlFSSx8tAC,2024.0,Unrated
Roc Huang,The Effects of Gender Diversity on Monetary Policy at the Federal Reserve,Journal of International Finance and Economics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jo7y9I8AAAAJ&pagesize=100&citation_for_view=Jo7y9I8AAAAJ:ufrVoPGSRksC,2023.0,C 
"Aditya Limaye, Loretta Smith",Corporate governance and choice of capital structure,Journal of International Finance and Economics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0o-hM4oAAAAJ&pagesize=100&citation_for_view=0o-hM4oAAAAJ:YsMSGLbcyi4C,2023.0,C 
Sidd Bhambhwani,Blockchain characteristics and cryptocurrency returns,"Journal of International Financial Markets, Institutions and Money",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xpOekbMAAAAJ&pagesize=100&citation_for_view=xpOekbMAAAAJ:ufrVoPGSRksC,2023.0,A 
Kuldeep Singh,Moving beyond Transactional Coursework to Enhance Student Success in University Classes.,Journal of Educational Research and Practice,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k3uL__cAAAAJ&pagesize=100&citation_for_view=k3uL__cAAAAJ:Y0pCki6q_DkC,2023.0,Unrated
Masa Kuroki,Integrating data science into an econometrics course with a Kaggle competition,The Journal of Economic Education,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q6SsuLgAAAAJ&pagesize=100&citation_for_view=Q6SsuLgAAAAJ:mVmsd5A6BfQC,2023.0,B 
Masa Kuroki,Housing affordability and mental health in the United States: 2013–2020,Mental Health & Prevention,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q6SsuLgAAAAJ&pagesize=100&citation_for_view=Q6SsuLgAAAAJ:Wp0gIr-vW9MC,2023.0,Unrated
Kuldeep Singh,"Social capital, knowledge sharing and operational performance in the supply chain: a buyer-supplier perspective",International Journal of Business and Systems Research,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k3uL__cAAAAJ&pagesize=100&citation_for_view=k3uL__cAAAAJ:IjCSPb-OGe4C,2023.0,Unrated
David Pumphrey,Predicting Reatil Brand Purchase Intentions Using Data Mining Techniques,Journal of Southwest Jiaotong University,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BvVBHSAAAAAJ&pagesize=100&citation_for_view=BvVBHSAAAAAJ:qjMakFHDy7sC,2023.0,Unrated
Kuldeep Singh,The Evolution of Dynamic Capabilities in OM.,American Journal of Management,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k3uL__cAAAAJ&pagesize=100&citation_for_view=k3uL__cAAAAJ:WF5omc3nYNoC,2023.0,Unrated
Sidd Bhambhwani,Disruption and stock markets: Evidence from Hong Kong,International Review of Financial Analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xpOekbMAAAAJ&pagesize=100&citation_for_view=xpOekbMAAAAJ:Y0pCki6q_DkC,2022.0,A 
Roc Huang,Estimating the NPV of a Pay-Go Tax Incremental Financing Development Note,Journal of International Finance and Economics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jo7y9I8AAAAJ&pagesize=100&citation_for_view=Jo7y9I8AAAAJ:WF5omc3nYNoC,2022.0,C 
Masa Kuroki,Do research universities boost regional economic development?-A case study of University of Science and Technology of China,Applied Economics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q6SsuLgAAAAJ&pagesize=100&citation_for_view=Q6SsuLgAAAAJ:4DMP91E08xMC,2022.0,A
Masa Kuroki,Healthcare coverage and out-of-pocket medical expenses: evidence from the 2017 Tax Cuts and Jobs Act and the medical expense deduction,Public Health,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q6SsuLgAAAAJ&pagesize=100&citation_for_view=Q6SsuLgAAAAJ:aqlVkmm33-oC,2022.0,Unrated
Aditya Limaye,Information pathways and their influence on corruption: An empirical study,Journal of International Finance Studies,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0o-hM4oAAAAJ&pagesize=100&citation_for_view=0o-hM4oAAAAJ:W7OEmFMy1HYC,2022.0,Unrated
"Kevin Mason, Matt Brown",Telemedicine patient satisfaction dimensions moderated by patient demographics,Healthcare,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XEpHGWAAAAAJ&pagesize=100&citation_for_view=XEpHGWAAAAAJ:Zph67rFs4hoC,2022.0,Unrated
Masa Kuroki,State minimum wages and health insurance coverage in the United States: 2008–2018,International Journal of Health Economics and Management,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q6SsuLgAAAAJ&pagesize=100&citation_for_view=Q6SsuLgAAAAJ:4TOpqqG69KYC,2022.0,Unrated
